nombre,lat,lon,riesgo
CENTRO DE EDUCACION INICIAL TEODORO MENDEZ,10.0734,-69.323,1
CENTRO DE EDUCACION INICIAL TERESA DE LA PARRA,10.4641,-66.6048,1
CENTRO DE EDUCACION INICIAL VALLE DE LAS FLORES,10.3439,-68.7513,1
CENTRO DE EDUCACION INICIAL VENEZUELA,9.5599,-69.1952,1
CENTRO DE EDUCACION INICIAL VIRGEN DEL VALLE,10.6464,-63.2871,1
CENTRO DE EDUCACION INICIAL YNES MERCEDES SALAZAR DE RONDON,10.9733,-63.978,1
CENTRO DE EDUCACIÓN INICIAL ZULIA,10.5524,-71.6657,1
CENTRO DE EDUCACION INICIALJOSE FELIX RIBAS,10.0283,-69.3792,1
CENTRO DE EDUCACION INTEGRAL RAFAEL QUEVEDO URBINA,9.32826,-70.586,1
CENTRO DE EDUCACION INTEGRAL RÓMULO GALLEGOS,9.33632,-70.6023,1
CENTRO DE EDUCACON INTEGRAL  NIRGUA,10.1565,-68.5733,1
CENTRO DE ESPECIALIDADES LUISA ROMERO,10.6007,-67.0272,1
CENTRO DE ESPECIALIZACION LUISA CACERES DE ARISMENDI,10.033,-69.2623,1
CENTRO DE FORMACION FAMILAR CRISTO REY,7.88849,-67.4863,1
CENTRO DE FORMACION INDUSTRIAL (INCE),10.082,-69.344,1
CENTRO DE FORMACIÓN INDUSTRIAL DEL ESTE INCES,10.4779,-66.7952,1
CENTRO DE FORMACION INTEGRAL PARA EL TRABAJO,9.72536,-63.2057,1
CENTRO DE FORMACION SOCIAL  PABLO VI,10.3506,-68.7501,1
CENTRO DE FORMACION SOCIALISTA CABIMAS,10.404,-71.4601,1
CENTRO DE FORMACION SOCIALISTA INCES TURISMO GUARAGUAO,10.9526,-63.8465,1
CENTRO DE FORMACION SOCIALISTA LOS RUICES,10.4895,-66.8271,1
CENTRO DE FORMACION TECNICA SOCIALISTA DOCTOR LUIS BELTRAN PRIETO FIGUEROA,7.76056,-72.236,1
CENTRO DE INCIACION MARIA ROSARIO CAMPOS,10.6159,-71.6646,1
CENTRO DE NIÑO Y FAMILIA AGUSTIN SALAZAR,9.75345,-63.1281,1
CENTRO DE ORIENTACION Y EDUCACION COMUNITARIA,10.486,-66.8026,1
CENTRO DE PARTICIPACION COMUNITARIA CENTRO PARTICIPACION COMUNITARIA,10.0305,-69.3618,1
CENTRO DE PARTICIPACION LOS MANGOS,10.0179,-69.216,1
CENTRO DE PREVENCION INTEGRAL PANCHITO MANDEFUA(CASA DEL NIÑO TRABAJADOR),10.4656,-64.1758,1
CENTRO DE RECREACION EDUCATIVA ROSALIA,9.52954,-69.2019,1
CENTRO DE SERVICIO SOCIAL MADRE CANDELARIA,9.8649,-66.3518,1
CENTRO DE SERVICIO SOCIAL RESIDENCIAL Y AMBULATORIO DOCTOR MARCOS SERRES PADILLA,9.7607,-63.1559,1
CENTRO DE VOTACION BRISAS DE VENEZUELA,9.7007,-63.2089,1
CENTRO DE VOTACION EL SOBERANO,9.7234,-63.2086,1
CENTRO DE VOTACION JUVENTUD,9.75016,-63.1225,1
CENTRO DE VOTACION LOS CAPACHOS,9.76085,-63.1157,1
CENTRO DE VOTACION SAGRADO CORAZON DE JESUS II,9.7038,-63.2058,1
CENTRO DE VOTACION VILLA NUEVA,10.5513,-71.6459,1
CENTRO DEL NIÑO Y LA FAMILIA BOLIVARIANO BELLOS HORIZONTES,9.7224,-63.1594,1
CENTRO DEL NIÑO Y LA FAMILIA BOLIVARIANO NUEVO HORIZONTE,9.71371,-63.2146,1
CENTRO DEL NIÑO Y LA FAMILIA BOLIVARIANO PRADO DEL SUR,9.72346,-63.1825,1
CENTRO DEPORTIVO EUGENIO MENDOZA,10.5002,-66.8533,1
CENTRO DIAGNOSTICO INTEGRAL LOS OLIVOS,10.06,-69.3807,1
CENTRO EDUCACION INICIAL ANDRES ELOY BLANCO (ANEXO),10.4585,-64.1862,1
CENTRO EDUCACION INICIAL BOLIVARIANO TOVAR Y TOVAR,10.3164,-68.7844,1
CENTRO EDUCACION INICIAL DOÑA MENCA DE LEONI,10.0948,-69.2779,1
CENTRO EDUCACIÓN INICIAL GUAYACAN DE LAS FLORES LOCAL N° 03,10.6338,-63.2637,1
CENTRO EDUCACION INICIAL NACIONAL BOLIVARIANA FILOMENA DE CORONEL,10.3521,-67.0381,1
CENTRO EDUCACION INICIAL NACIONAL PEDRO ZARAZO,10.4679,-66.8013,1
CENTRO EDUCACION INICIAL SIMONCITO DURIGUA,9.5581,-69.1819,1
CENTRO EDUCACION INTEGRAL ANDRES ELOY BLANCO,10.4757,-64.173,1
CENTRO EDUCATIVO ASOCIACION PROFESORES UNIVERSIDAD CENTRAL DE VENEZUELA  (CEAPUCV),10.4751,-66.8811,1
CENTRO EDUCATIVO BOLIVARIANO INICIAL LOS LAURELES,9.88844,-67.3633,1
CENTRO EDUCATIVO INICIAL ANTONIO JOSE DE SUCRE,10.0788,-69.3325,1
CENTRO EDUCATIVO INTEGARL BOLIVARIANO SANTIAGO MACHADO,10.5046,-66.8818,1
CENTRO EDUCATIVO RECREACION JACINTO LARA,10.0313,-69.4035,1
CENTRO EDUCATIVO RECREACIONAL LUISA CACERES DE ARISMENDI,10.4899,-66.8018,1
CENTRO ESCOLAR AULA NUEVA,10.4616,-66.834,1
CENTRO INFANTIL AMERICA,10.4675,-66.8378,1
CENTRO INFANTIL PRESBITERO LISANDRO PUCHE,10.615,-71.6458,1
CENTRO MARITIMO DE VENEZUELA,10.4733,-66.7637,1
CENTRO MEDICO CARLOS DIEZ DEL INSTITUTO VENEZOLANO DE SEGURO SOCIAL CHACAO,10.4959,-66.8552,1
CENTRO MOVIL CASA DE LA CULTURA DE TANAGUERENA,10.6098,-66.8269,1
CENTRO MUNICIPAL DE ATENCION INTEGRAL (CEMAI) EL RECREO,10.5054,-66.8699,1
CENTRO NACIONAL DE PROCESADOS MILITARES,10.3546,-67.05,1
CENTRO NACIONAL EDUCATIVO CRUZ FIGUERA,9.71051,-63.2087,1
CENTRO PENITENCIARIO REGIÓN INSULAR,10.9614,-63.9069,1
CENTRO PRE ESCOLAR ANDRES BELLO,9.57775,-69.2398,1
CENTRO PRE ESCOLAR AÑO INTERNACIONAL DEL NIÑO,9.53723,-69.2197,1
CENTRO PRE ESCOLAR BARAURE III,9.58217,-69.2037,1
CENTRO PRE ESCOLAR BOLIVARIANO SIMON RODRIGUEZ,10.015,-69.4734,1
CENTRO PRE-ESCOLAR ABIERTO ANDRES BELLO,9.22587,-66.0162,1
CENTRO PRE-ESCOLAR EL VALLE,10.4644,-66.9068,1
CENTRO PRE-ESCOLAR SIMON BOLIVAR,10.0426,-69.3984,1
CENTRO PREESCOLAR AÑO INTERNACIONAL DEL NIÑO,9.91616,-67.3658,1
CENTRO PREESCOLAR DON SIMON RODRIGUEZ,10.058,-69.3598,1
