codigo_centro,cod_estado,estado,nombre_centro,electores,rank_por_tamano,residual_2006,residual_2012,n_hist,recent_distance,historical_mae,historical_rmse,historical_bias,abs_historical_bias,historical_volatility,selector,cohort,score,pasada,tolerancia_de_entrada,metodo,target,residual_2013,residual_2018
140807001,14,Monagas,ESCUELA TERESA CARREÑO,3694.0,10,3.034115,0.850416,2,0.850416,1.942266,2.228122,1.942266,1.942266,1.091849,recent_distance,common,0.850416,1,2,longitudinal,2013,,
140709002,14,Monagas,ESCUELA BASICA CASTOR GUEVARA,3261.0,26,2.815807,-0.88902,2,0.88902,1.852414,2.087957,0.963394,0.963394,1.852414,recent_distance,common,0.88902,1,2,longitudinal,2013,,
140501001,14,Monagas,ESCUELA BASICA ALBERTO RAVELL,3014.0,45,0.627727,-0.649103,2,0.649103,0.638415,0.638504,-0.010688,0.010688,0.638415,recent_distance,common,0.649103,1,2,longitudinal,2013,,
140708016,14,Monagas,ESCUELA BASICA CECILIO ACOSTA,3013.0,46,6.411,1.50079,2,1.50079,3.955895,4.655819,3.955895,3.955895,2.455105,recent_distance,common,1.50079,1,2,longitudinal,2013,,
151102002,15,Nueva Esparta,ESCUELA BÁSICA VILLA ROSA,3372.0,4,4.707109,0.858166,2,0.858166,2.782638,3.383292,2.782638,2.782638,1.924472,recent_distance,common,0.858166,1,2,longitudinal,2013,,
151101001,15,Nueva Esparta,UNIDAD EDUCATIVA MONSEÑOR EDUARDO VÁSQUEZ,3352.0,5,1.819907,-0.322558,2,0.322558,1.071232,1.306925,0.748674,0.748674,1.071232,recent_distance,common,0.322558,1,2,longitudinal,2013,,
150601021,15,Nueva Esparta,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA CACIQUE CHARAIMA,3087.0,13,0.557453,-0.940643,2,0.940643,0.749048,0.773163,-0.191595,0.191595,0.749048,recent_distance,common,0.940643,1,2,longitudinal,2013,,
160601017,16,Portuguesa,ESCUELA BASICA ROMULO GALLEGOS,3768.0,6,2.275294,-1.943869,2,1.943869,2.109582,2.11608,0.165712,0.165712,2.109582,recent_distance,common,1.943869,1,2,longitudinal,2013,,
160601021,16,Portuguesa,ESCUELA BASICA FE Y ALEGRIA,3521.0,14,-0.144184,0.040295,2,0.040295,0.09224,0.10586,-0.051944,0.051944,0.09224,recent_distance,common,0.040295,1,2,longitudinal,2013,,
160601015,16,Portuguesa,GRUPO ESCOLAR BOLIVARIANO DURIGUA,3183.0,27,3.306058,-0.647949,2,0.647949,1.977003,2.382211,1.329055,1.329055,1.977003,recent_distance,common,0.647949,1,2,longitudinal,2013,,
160301023,16,Portuguesa,GRUPO ESCOLAR NACIONAL DIEGO ANTONIO BRICEÑO,3076.0,33,0.501972,-1.313938,2,1.313938,0.907955,0.994587,-0.405983,0.405983,0.907955,recent_distance,common,1.313938,1,2,longitudinal,2013,,
170901018,17,Sucre,UNIDAD EDUCATIVA REBECA MEJIA,5640.0,1,11.341048,-0.095789,2,0.095789,5.718419,8.019618,5.62263,5.62263,5.718419,recent_distance,common,0.095789,1,2,longitudinal,2013,,
170903019,17,Sucre,ESCUELA BOLIVARIANA RÍO CARIBE,4981.0,2,9.697037,0.54819,2,0.54819,5.122614,6.867788,5.122614,5.122614,4.574423,recent_distance,common,0.54819,1,2,longitudinal,2013,,
170901017,17,Sucre,UNIDAD EDUCATIVA GRAN MARISCAL,4688.0,4,10.526208,-0.241111,2,0.241111,5.383659,7.445105,5.142549,5.142549,5.383659,recent_distance,common,0.241111,1,2,longitudinal,2013,,
170907002,17,Sucre,U.E.NUEVA CÓRDOBA,3820.0,14,-0.837785,1.358761,2,1.358761,1.098273,1.128741,0.260488,0.260488,1.098273,recent_distance,common,1.358761,1,2,longitudinal,2013,,
181601002,18,Tachira,GRUPO ESCOLAR PEDRO MARIA UREÑA,4862.0,5,12.027163,-0.511473,2,0.511473,6.269318,8.512175,5.757845,5.757845,6.269318,recent_distance,common,0.511473,1,2,longitudinal,2013,,
180801011,18,Tachira,ESCUELA BASICA JUAN BAUTISTA GARCIA ROA,4339.0,11,2.684852,-0.829647,2,0.829647,1.75725,1.987051,0.927603,0.927603,1.75725,recent_distance,common,0.829647,1,2,longitudinal,2013,,
180803004,18,Tachira,ESCUELA BOLIVARIANA LOS ANDES,4200.0,17,3.099837,-1.000574,2,1.000574,2.050205,2.303273,1.049631,1.049631,2.050205,recent_distance,common,1.000574,1,2,longitudinal,2013,,
181901001,18,Tachira,UNIDAD EDUCATIVA ESTADAL INES LABRADOR DE LARA,3774.0,30,-1.731897,-0.677428,2,0.677428,1.204662,1.314986,-1.204662,1.204662,0.527234,recent_distance,common,0.677428,1,2,longitudinal,2013,,
