codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,hist_pct_maduro_centro,hist_pct_maduro_estado,hist_diff_abs_pp,pasada,tolerancia_de_entrada,metodo,transicion
230108008,23,CONCENTRACION ESCOLAR NUMERO 1,Delta Amacuro,953,2,38,63.61186,61.63058,1.98128,1,2,legacy,2013_2018
240104001,24,UNIDAD EDUCATIVA ESTADAL EMILIO GIMON STERLING,La Guaira,4458,6,6,55.667724,57.085172,1.417448,1,2,legacy,2013_2018
240104010,24,UNIDAD EDUCATIVA ESTATAL DOCTOR ALFREDO MACHADO,La Guaira,4291,6,8,56.292367,57.085172,0.792805,1,2,legacy,2013_2018
240107011,24,GRUPO ESCOLAR REPUBLICA DEL SALVADOR,La Guaira,3907,6,12,57.402512,57.085172,0.31734,1,2,legacy,2013_2018
010119003,01,LICEO BOLIVARIANO PEDRO EMILIO COLL,Distrito Capital,7424,8,5,68.936679,70.89212,1.955442,1,2,legacy,2018_2024
010108025,01,UNIDAD EDUCATIVA COLEGIO GRAN COLOMBIA,Distrito Capital,7406,7,6,71.87642,70.89212,0.9843,1,2,legacy,2018_2024
010116002,01,UNIDAD EDUCATIVA NACIONAL BOLIVARIANO CLAUDIO FELICIANO,Distrito Capital,6628,4,14,69.372787,70.89212,1.519333,1,2,legacy,2018_2024
010114020,01,ESCUELA BÁSICA NACIONAL CARMÉN MAIZO DE BELLO,Distrito Capital,6405,7,17,70.232558,70.89212,0.659562,1,2,legacy,2018_2024
010107010,01,ESCUELA NACIONAL BOLIVARIANA 19 DE ABRIL,Distrito Capital,6155,5,19,69.132455,70.89212,1.759665,1,2,legacy,2018_2024
010110022,01,UNIDAD EDUCATIVA NACIONAL MIGUEL ANTONIO CARO,Distrito Capital,6025,5,22,69.839015,70.89212,1.053105,1,2,legacy,2018_2024
010111013,01,UNIDAD EDUCATIVA NACIONAL 23 DE ENERO,Distrito Capital,5655,5,24,70.440821,70.89212,0.451299,1,2,legacy,2018_2024
021301011,02,GRUPO ESCOLAR INES MARIA DE POTENTINI,Anzoategui,5664,6,6,58.975318,60.720968,1.74565,1,2,legacy,2018_2024
021601007,02,UNIDAD EDUCATIVA ESTADAL FRANCISCO FAJARDO,Anzoategui,5616,4,7,60.486049,60.720968,0.234919,1,2,legacy,2018_2024
020301027,02,ESCUELA NACIONAL PRIMARIA DOCTOR JOSÉ MARIA VARGAS,Anzoategui,5334,6,13,61.125509,60.720968,0.404541,1,2,legacy,2018_2024
021301015,02,ESCUELA VALLE LINDO,Anzoategui,4750,5,20,59.467973,60.720968,1.252994,1,2,legacy,2018_2024
021301004,02,LICEO CRISTOBAL COLON,Anzoategui,4585,5,25,61.571307,60.720968,0.850339,1,2,legacy,2018_2024
020401002,02,LICEO BOLIVARIANO DOCTOR JOSÉ RAFAEL DOMÍNGUEZ,Anzoategui,4545,5,26,59.106239,60.720968,1.614728,1,2,legacy,2018_2024
020301018,02,ESCUELA NACIONAL BARRIO UNIVERSITARIO,Anzoategui,4385,5,34,62.007011,60.720968,1.286044,1,2,legacy,2018_2024
030501001,03,ESCUELA BASICA SIMON GARCIA ROSALES,Apure,3111,3,16,68.669202,69.231693,0.562492,1,2,legacy,2018_2024
030604001,03,ESCUELA BASICA BOLIVARIANA MADARIAGA,Apure,3015,3,20,68.625954,69.231693,0.605739,1,2,legacy,2018_2024
030601011,03,ESCUELA BASICA ANDRES ELOY BLANCO,Apure,2772,3,27,70.39555,69.231693,1.163857,1,2,legacy,2018_2024
040103002,04,ESCUELA BASICA GREGORIA DIAZ,Aragua,7152,8,1,72.105263,71.252347,0.852916,1,2,legacy,2018_2024
040101011,04,UNIDAD EDUCATIVA ESTADAL DOLORES MENDOZA DE OSORIO,Aragua,5964,7,9,72.187822,71.252347,0.935475,1,2,legacy,2018_2024
040301012,04,ESCUELA BASICA ESTADAL AMERICA FERNANDEZ DE LEONI,Aragua,5817,3,10,71.881302,71.252347,0.628955,1,2,legacy,2018_2024
040902003,04,ESCUELA BASICA SAN ISIDRO LABRADOR,Aragua,4980,6,18,70.585523,71.252347,0.666824,1,2,legacy,2018_2024
040101009,04,CICLO BASICO ANDRES BELLO,Aragua,4775,5,27,69.517685,71.252347,1.734663,1,2,legacy,2018_2024
040108009,04,UNIDAD EDUCATIVA NACIONAL  ANTONIO GARCIA ROJO,Aragua,4524,4,35,72.528926,71.252347,1.276578,1,2,legacy,2018_2024
040106002,04,ESCUELA BASICA RAFAEL URDANETA,Aragua,4472,4,39,72.597137,71.252347,1.34479,1,2,legacy,2018_2024
