transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,12,Merida,4,514,514,514,4,4,100.0,100.0,48.454019,47.244927,-1.209092,47.244927,42.885591,40.611895,-2.273696,-5.568428,-6.633033,-1.064604,576870.0,2013,historical_rmse,common,3
2013,longitudinal,baseline,300,13,Miranda,10,1040,1038,1040,10,10,100.0,100.0,49.98078,49.678233,-0.302547,49.678233,47.296963,45.553341,-1.743622,-2.683818,-4.124892,-1.441075,1950657.0,2013,historical_rmse,common,10
2013,longitudinal,baseline,300,14,Monagas,4,469,467,469,4,4,100.0,100.0,58.324918,58.464167,0.13925,58.464167,55.464436,55.712166,0.24773,-2.860482,-2.752001,0.108481,594585.0,2013,historical_rmse,common,4
2013,longitudinal,baseline,300,15,Nueva Esparta,3,230,230,230,3,3,100.0,100.0,51.022947,50.509782,-0.513165,50.509782,46.909744,45.442448,-1.467295,-4.113204,-5.067334,-0.95413,329544.0,2013,historical_rmse,common,3
2013,longitudinal,baseline,300,16,Portuguesa,4,621,620,621,4,4,100.0,100.0,71.143621,70.476842,-0.666779,70.476842,65.453833,63.911313,-1.54252,-5.689788,-6.565529,-0.875741,577589.0,2013,historical_rmse,common,3
2013,longitudinal,baseline,300,17,Sucre,4,646,646,646,4,4,100.0,100.0,60.234865,61.316627,1.081762,61.316627,57.483592,56.85751,-0.626082,-2.751273,-4.459117,-1.707844,627075.0,2013,historical_rmse,common,3
2013,longitudinal,baseline,300,18,Tachira,5,677,677,677,5,5,100.0,100.0,43.291451,42.623791,-0.66766,42.623791,36.97814,35.48715,-1.490991,-6.313311,-7.136642,-0.823331,799086.0,2013,historical_rmse,common,5
2013,longitudinal,baseline,300,19,Trujillo,4,634,633,634,4,4,100.0,100.0,64.104775,63.797669,-0.307105,63.797669,59.789413,59.531948,-0.257465,-4.315361,-4.265721,0.04964,500938.0,2013,historical_rmse,common,4
2013,longitudinal,baseline,300,20,Yaracuy,3,462,462,462,3,3,100.0,100.0,59.997593,59.896866,-0.100727,59.896866,56.530006,55.271877,-1.258129,-3.467587,-4.624989,-1.157402,405385.0,2013,historical_rmse,common,2
2013,longitudinal,baseline,300,21,Zulia,12,1215,1212,1215,12,12,100.0,100.0,53.343077,52.690173,-0.652904,52.690173,47.688074,46.4687,-1.219374,-5.655003,-6.221473,-0.56647,2332974.0,2013,historical_rmse,common,12
2013,longitudinal,baseline,300,22,Amazonas,2,126,124,126,2,2,100.0,100.0,53.618891,52.524807,-1.094084,52.524807,52.458365,50.314329,-2.144036,-1.160526,-2.210478,-1.049952,96290.0,2013,historical_rmse,common,1
2013,longitudinal,baseline,300,23,Delta Amacuro,2,178,177,178,2,2,100.0,100.0,66.843008,68.150346,1.307338,68.150346,61.63058,62.475822,0.845242,-5.212428,-5.674524,-0.462096,113246.0,2013,historical_rmse,common,2
2013,longitudinal,baseline,300,24,La Guaira,3,198,198,198,3,3,100.0,100.0,61.470904,60.675596,-0.795308,60.675596,57.085172,55.568524,-1.516648,-4.385732,-5.107071,-0.72134,265911.0,2013,historical_rmse,common,2
2013,longitudinal,baseline,300,01,Distrito Capital,9,899,899,899,9,9,100.0,100.0,54.890036,47.476868,-7.413168,47.476868,51.320369,44.059379,-7.26099,-3.569668,-3.41749,0.152178,1608977.0,2013,historical_volatility,common,9
2013,longitudinal,baseline,300,02,Anzoategui,6,598,598,598,6,6,100.0,100.0,51.581067,48.723162,-2.857905,48.723162,47.323629,44.252874,-3.070755,-4.257439,-4.470288,-0.21285,1006509.0,2013,historical_volatility,common,6
2013,longitudinal,baseline,300,03,Apure,3,317,316,317,3,3,100.0,100.0,66.112384,65.780063,-0.332322,65.780063,61.76014,61.478599,-0.281541,-4.352244,-4.301463,0.050781,309558.0,2013,historical_volatility,common,2
2013,longitudinal,baseline,300,04,Aragua,7,623,623,623,7,7,100.0,100.0,58.642441,50.299076,-8.343365,50.299076,54.054519,46.144378,-7.910141,-4.587922,-4.154698,0.433224,1164714.0,2013,historical_volatility,common,7
2013,longitudinal,baseline,300,05,Barinas,4,508,506,508,4,4,100.0,100.0,59.234242,47.597679,-11.636564,47.597679,52.188214,39.997028,-12.191186,-7.046028,-7.60065,-0.554622,523946.0,2013,historical_volatility,common,4
2013,longitudinal,baseline,300,06,Bolivar,6,708,707,708,6,6,100.0,100.0,53.738039,49.402222,-4.335817,49.402222,47.879948,44.648249,-3.231699,-5.858091,-4.753972,1.104119,941252.0,2013,historical_volatility,common,6
